Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Monthly % Change
3/1/99,1281.66,16.45,38.38,165,5.23,1940.63,24.91,58.11,41.36,4.143064463
4/1/99,1334.76,16.45,39.26,166.2,5.18,2006.44,24.73,59.02,42.7,-0.201534358
5/1/99,1332.07,16.45,40.14,166.2,5.54,2002.4,24.73,60.34,42.56,-0.714677157
6/1/99,1322.55,16.45,41.02,166.2,5.9,1988.09,24.73,61.66,42.18,4.418736532
7/1/99,1380.99,16.51,42,166.7,5.79,2069.71,24.75,62.95,43.83,-3.874032397
8/1/99,1327.49,16.58,42.98,167.1,5.94,1984.76,24.78,64.26,41.93,-0.702076852
9/1/99,1318.17,16.64,43.96,167.9,5.92,1961.44,24.76,65.41,41.32,-1.377667524
10/1/99,1300.01,16.66,45.36,168.2,6.11,1930.97,24.74,67.38,40.55,6.999176929
11/1/99,1391,16.67,46.77,168.3,6.03,2064.89,24.75,69.42,43.21,2.708842559
12/1/99,1428.68,16.69,48.17,168.3,6.28,2120.83,24.78,71.51,44.2,-0.216283562
1/1/00,1425.59,16.71,49.1,168.8,6.66,2109.97,24.74,72.67,43.77,-2.575775644
2/1/00,1388.87,16.74,50.02,169.8,6.52,2043.52,24.63,73.6,42.19,3.840532231
3/1/00,1442.21,16.76,50.95,171.2,6.26,2104.65,24.46,74.35,43.22,1.327823271
4/1/00,1461.36,16.74,51.27,171.3,5.99,2131.35,24.41,74.78,43.53,-2.934253025
5/1/00,1418.48,16.72,51.6,171.5,6.44,2066.39,24.36,75.16,41.97,3.065252947
6/1/00,1461.96,16.7,51.92,172.4,6.1,2118.62,24.2,75.24,42.78,0.75515062
7/1/00,1473,16.58,52.51,172.8,6.05,2129.67,23.98,75.92,42.76,0.845892736
8/1/00,1485.46,16.47,53.11,172.8,5.83,2147.69,23.81,76.78,42.87,-1.17202752
9/1/00,1468.05,16.35,53.7,173.7,5.8,2111.52,23.52,77.24,41.9,-5.307039951
10/1/00,1390.14,16.32,52.47,174,5.74,1996.01,23.44,75.33,39.37,-0.870415929
11/1/00,1378.04,16.3,51.23,174.1,5.72,1977.5,23.39,73.52,38.78,-3.418623552
12/1/00,1330.93,16.27,50,174,5.24,1911,23.36,71.79,37.27,0.353136529
1/1/01,1335.63,16.17,48.48,175.1,5.16,1905.7,23.07,69.17,36.98,-2.237146515
2/1/01,1305.75,16.07,46.96,175.8,5.1,1855.65,22.84,66.74,35.83,-9.182462186
3/1/01,1185.85,15.97,45.44,176.2,4.89,1681.43,22.64,64.43,32.33,0.336467513
4/1/01,1189.84,15.88,42.56,176.9,5.14,1680.41,22.42,60.1,32.17,6.768136892
5/1/01,1270.37,15.78,39.67,177.7,5.39,1786.06,22.19,55.78,34.07,-2.492187316
6/1/01,1238.71,15.69,36.79,178,5.28,1738.62,22.02,51.64,33.07,-2.76578053
7/1/01,1204.45,15.71,33.96,177.5,5.24,1695.29,22.11,47.8,32.16,-2.154510357
8/1/01,1178.5,15.72,31.14,177.5,4.97,1658.77,22.13,43.83,31.4,-11.35850658
9/1/01,1044.64,15.74,28.31,178.3,4.73,1463.76,22.06,39.67,27.67,3.058469904
10/1/01,1076.59,15.74,27.1,177.7,4.57,1513.62,22.13,38.11,28.58,4.931310898
11/1/01,1129.68,15.74,25.9,177.4,4.65,1590.95,22.17,36.47,30.01,1.349939806
12/1/01,1144.93,15.74,24.69,176.7,5.09,1618.81,22.25,34.91,30.5,-0.412252277
1/1/02,1140.21,15.74,24.69,177.1,5.04,1608.5,22.2,34.83,30.28,-3.467782251
2/1/02,1100.67,15.73,24.7,177.8,4.91,1546.61,22.11,34.7,29.09,4.826151344
3/1/02,1153.79,15.73,24.7,178.8,5.28,1612.18,21.98,34.51,30.29,-3.628043231
4/1/02,1111.93,15.83,25.38,179.8,5.21,1545.05,22,35.27,29.01,-2.939033932
5/1/02,1079.25,15.94,26.06,179.8,5.16,1499.64,22.14,36.21,28.13,-6.044012045
6/1/02,1014.02,16.04,26.74,179.9,4.93,1408.22,22.28,37.14,26.39,-10.89031775
7/1/02,903.59,15.96,27.84,180.1,4.65,1253.46,22.14,38.62,23.46,0.991600173
8/1/02,912.55,15.88,28.94,180.7,4.26,1261.69,21.96,40.01,23.59,-4.902745055
9/1/02,867.81,15.8,30.04,181,3.87,1197.84,21.81,41.46,22.37,-1.518765628
10/1/02,854.63,15.89,29.22,181.3,3.94,1177.7,21.9,40.27,21.96,6.470636416
11/1/02,909.93,15.98,28.41,181.3,4.05,1253.9,22.02,39.15,23.35,-1.181409559
12/1/02,899.18,16.07,27.59,180.9,4.03,1241.83,22.19,38.1,23.1,-0.371449543
